iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MUS,Africa,Mauritius,2020-10-25,435.0,28.0,4.0,10.0,0.0,0.0,340.87,21.94,3.13,7.84,0.0,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,622.96,37.4,10.94,5.88,20292.74,0.5,224.64,22.02,3.2,40.7,,3.4,74.99,0.8,1299478,,,,
ERI,Africa,Eritrea,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.3,19.3,3.61,2.17,1510.46,,311.11,6.05,0.2,11.4,,0.7,66.32,0.46,3684041,,,,
PSE,Asia,Palestine,2021-04-30,319100.0,0.0,1503.0,3419.0,0.0,24.0,60147.7,0.0,283.3,644.45,0.0,4.52,0.71,,,,,,,,,,4293.0,,0.84,4684.0,0.91,0.22,4.5,tests performed,,,,,,18740.0,,,,,3569.0,7134.0,0.14,76.85,778.2,20.4,3.04,1.73,4449.9,1.0,265.91,10.59,,,,,74.05,0.71,5250076,3031.7,17.12,67.69,590.58
MDG,Africa,Madagascar,2024-01-26,68491.0,0.0,0.71,1426.0,0.0,0.0,2250.24,0.0,0.02,46.85,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.95,19.6,2.93,1.69,1416.44,77.6,405.99,3.94,,,50.54,0.2,67.04,0.53,29611718,,,,
SVN,Europe,Slovenia,2022-09-05,1131968.0,0.0,1272.29,8191.0,0.0,4.0,535151.25,0.0,601.49,3872.39,0.0,1.89,1.09,16.0,7.55,110.0,51.89,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,102.62,44.5,19.06,12.93,31400.84,,153.49,7.25,20.1,25.0,,4.5,81.32,0.92,2119843,,,,
HTI,North America,Haiti,2024-07-10,34456.0,0.0,0.0,860.0,0.0,0.0,2995.24,0.0,0.0,74.76,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.45,24.3,4.8,2.95,1653.17,23.5,430.55,6.65,2.9,23.1,22.86,0.7,64.0,0.51,11585003,,,,
NOR,Europe,Norway,2022-07-04,1449154.0,0.0,558.14,3398.0,0.0,9.71,265568.72,0.0,102.28,622.71,0.0,1.78,0.85,,,,,,,,,,,,,,,,,,11420743.0,4343232.0,4048872.0,3028639.0,2356.0,1712.0,210.16,79.92,74.51,55.73,315.0,70.0,0.0,11.11,14.46,39.7,16.82,10.81,64800.06,0.2,114.32,5.31,19.6,20.7,,3.6,82.4,0.96,5434324,,,,
SRB,Europe,Serbia,2023-01-25,2464509.0,0.0,789.14,17649.0,0.0,7.0,362896.47,0.0,116.2,2598.8,0.0,1.03,,15.0,2.18,273.0,39.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.29,41.2,17.37,,14048.88,,439.42,10.08,37.7,40.2,97.72,5.61,76.0,0.81,6871547,,,,
NGA,Africa,Nigeria,2023-05-12,266675.0,0.0,0.0,3155.0,0.0,0.0,1195.04,0.0,0.0,14.14,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,88022.0,,,,,403.0,60186.0,0.03,,209.59,18.1,2.75,1.45,5338.45,,181.01,2.42,0.6,10.8,41.95,,54.69,0.54,218541216,,,,
COD,Africa,Democratic Republic of Congo,2020-07-31,8829.0,0.0,61.0,390.0,0.0,1.43,86.22,0.0,0.6,3.81,0.0,0.01,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,35.88,17.0,3.02,1.74,808.13,77.1,318.95,6.1,,,4.47,,60.68,0.48,99010216,,,,
COG,Africa,Congo,2020-05-02,200.0,0.0,8.14,7.0,0.0,0.29,33.14,0.0,1.35,1.16,0.0,0.05,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.4,19.0,3.4,2.06,4881.41,37.0,344.09,7.2,1.7,52.3,47.96,,64.57,0.57,5970430,,,,
JOR,Asia,Jordan,2020-09-16,3062.0,0.0,101.29,22.0,0.0,0.86,272.03,0.0,9.0,1.95,0.0,0.08,1.63,,,,,,,,,,,,,9385.0,0.84,0.02,55.1,tests performed,,,,,,,,,,,,,,61.11,109.28,23.2,3.81,2.36,8337.49,0.1,208.26,11.75,,,,1.4,74.53,0.73,11285875,,,,
PSE,Asia,Palestine,2023-05-02,703228.0,0.0,0.0,5708.0,0.0,0.0,132552.62,0.0,0.0,1075.91,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.2,20.4,3.04,1.73,4449.9,1.0,265.91,10.59,,,,,74.05,0.71,5250076,,,,
DNK,Europe,Denmark,2023-10-10,3417017.0,0.0,0.0,8824.0,0.0,0.0,578871.06,0.0,0.0,1494.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.52,42.3,19.68,12.32,46682.52,0.2,114.77,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
TLS,Asia,East Timor,2022-07-21,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,2248.0,,,,,1676.0,308.0,0.02,9.61,87.18,18.0,3.56,1.9,6570.1,30.3,335.35,6.86,6.3,78.1,28.18,5.9,69.5,0.61,1341298,,,,
COK,Oceania,Cook Islands,2024-05-03,7326.0,0.0,0.29,2.0,0.0,0.0,496779.0,0.0,19.37,135.62,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032,,,,
IRQ,Asia,Iraq,2021-03-06,692241.0,0.0,3927.29,13383.0,0.0,19.71,15707.56,0.0,89.11,303.67,0.0,0.45,1.13,,,,,,,,,,,,,38208.0,0.88,0.12,8.6,tests performed,,,,,,955.0,,,,,21.0,955.0,0.0,84.26,88.12,20.0,3.19,1.96,15663.99,2.5,218.61,8.83,,,94.58,1.4,70.6,0.67,44496124,,,,
BLZ,North America,Belize,2022-08-01,67111.0,0.0,70.0,680.0,0.0,0.0,166635.62,0.0,173.81,1688.43,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,173.0,20.0,0.0,11.11,16.43,25.0,3.85,2.28,7824.36,,176.96,17.11,,,90.08,1.3,74.62,0.72,405285,,,,
BGD,Asia,Bangladesh,2022-08-14,2008870.0,1535.0,219.29,29313.0,9.0,1.29,11859.8,9.06,1.3,173.06,0.05,0.01,0.71,,,,,,,,,,,,,,,,,,291969856.0,130179063.0,120841398.0,41327307.0,,105800.0,170.56,76.05,70.59,24.14,618.0,5174.0,0.0,13.89,1265.04,27.5,5.1,3.26,3523.98,14.8,298.0,8.38,1.0,44.7,34.81,0.8,72.59,0.63,171186368,,,,
YEM,Asia,Yemen,2023-10-28,11945.0,0.0,0.0,2159.0,0.0,0.0,312.51,0.0,0.0,56.48,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,,,5.0,122.0,0.0,,53.51,20.3,2.92,1.58,1479.15,18.8,495.0,5.35,7.6,29.2,49.54,0.7,66.12,0.47,33696612,,,,
BRB,North America,Barbados,2021-12-08,25964.0,0.0,148.71,234.0,0.0,1.57,91965.26,0.0,526.75,828.84,0.0,5.57,0.86,,,,,,,,,,,,,,,,,,293083.0,154226.0,138857.0,,187.0,346.0,104.06,54.76,49.3,,1228.0,79.0,0.03,67.59,664.46,39.8,14.95,9.47,16978.07,,170.05,13.57,1.9,14.5,88.47,5.8,79.19,0.81,281646,,,,
BRN,Asia,Brunei,2020-06-17,141.0,0.0,0.0,2.0,0.0,0.0,309.64,0.0,0.0,4.39,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,81.35,32.4,4.59,2.38,71809.25,,201.28,12.79,2.0,30.9,,2.7,75.86,0.84,449002,,,,
AUS,Oceania,Australia,2021-07-26,33795.0,0.0,180.0,940.0,0.0,0.71,1289.84,0.0,6.87,35.88,0.0,0.03,1.38,50.0,1.91,207.0,7.91,,,,,24177665.0,164158.0,932.74,6.33,169275.0,6.53,0.0,1034.0,tests performed,11379476.0,7934454.0,3445022.0,,179667.0,158447.0,43.47,30.31,13.16,,6053.0,81559.0,0.31,68.06,3.2,37.9,15.5,10.13,44648.71,0.5,107.79,5.07,13.0,16.5,,3.84,83.44,0.94,26177410,,,,
MKD,Europe,North Macedonia,2023-08-17,348389.0,0.0,1.29,9941.0,0.0,0.0,189317.56,0.0,0.7,5402.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,39.1,13.26,8.16,13111.21,5.0,322.69,10.08,,,,4.28,75.8,0.77,2093606,,,,
TTO,North America,Trinidad and Tobago,2020-09-06,2142.0,565.0,80.71,32.0,13.0,1.86,1431.89,377.69,53.96,21.39,8.69,1.24,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,266.89,36.2,10.01,5.82,28763.07,,228.47,10.97,,,89.44,3.0,73.51,0.8,1531043,,,,
